Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
NBL,"Noble Energy Inc",23.59,-0.74,-3.04%,23.95,23.22,8085518,"14:47 ET"
NCLH,"Norwegian Cruise Ord",48.41,-0.36000000000001,-0.74%,49.23,47.83,1404739,"14:46 ET"
NDAQ,"Nasdaq Inc",88.75,-1.65,-1.83%,90.19,88.75,872824,"14:46 ET"
NEE,"Nextera Energy",180.55,-1.62,-0.89%,182.83,178.68,1179562,"14:47 ET"
NEM,"Newmont Mining Corp",32.46,-1.33,-3.94%,33.81,32.43,5173874,"14:47 ET"
NFLX,"Netflix Inc",275.73,0.40000000000003,+0.15%,279.63,267.14,9642569,"14:47 ET"
NFX,"Newfield Exploration Company",16.36,-0.87,-5.05%,16.8,16.13,4982704,"14:47 ET"
NI,"NiSource Inc",26.68,-0.41,-1.51%,27.19,26.42,1832277,"14:47 ET"
NKE,"Nike Inc",74.34,-1.45,-1.91%,75.14,73.39,5364719,"14:47 ET"
NKTR,"Nektar Therapeutics",37.36,-0.64,-1.68%,38.04,36.66,1216283,"14:47 ET"
NLSN,"Nielsen Holdings Plc",26.84,-0.24,-0.89%,27.12,26.48,2533566,"14:47 ET"
NOC,"Northrop Grumman Corp",253.71,3.87,+1.55%,255.51,245.57,1673328,"14:46 ET"
NOV,National-Oilwell,29.91,-1.77,-5.59%,30.75,29.91,2490929,"14:47 ET"
NRG,"NRG Energy",39.97,0.14,+0.35%,40.42,39.13,3086958,"14:46 ET"
NSC,"Norfolk Southern Corp",159.18,-6.71,-4.04%,163.51,157.86,2170882,"14:47 ET"
NTAP,"Netapp Inc",66.7,-1.27,-1.87%,67.75,66,1546954,"14:47 ET"
NTRS,"Northern Trust Corp",89.49,-4.88,-5.17%,93.65,89.04,1615203,"14:47 ET"
NUE,"Nucor Corp",58.32,-1.34,-2.25%,58.94,57.35,1172716,"14:46 ET"
NVDA,"Nvidia Corp",154.44,-2.67,-1.70%,156.74,150.81,12725914,"14:47 ET"
NWL,"Newell Rubbermaid Inc",22.52,-1.02,-4.33%,23.31,22.15,8084620,"14:47 ET"
NWS,"News Cp Cl B Cmn ST",12.71,-0.56,-4.22%,13.14,12.69,309246,"14:46 ET"
NWSA,"News Cp Cl A Cmn ST",12.35,-0.54,-4.19%,12.76,12.32,1963681,"14:47 ET"
O,"Realty Income Corp",64.82,0.77999999999999,+1.22%,65,63.65,1639601,"14:47 ET"
OKE,"Oneok Inc",58.49,-2.11,-3.48%,59.66,57.78,1482577,"14:47 ET"
OMC,"Omnicom Group Inc",74.97,-0.66,-0.87%,75.66,74.46,1481876,"14:47 ET"
ORCL,"Oracle Corp",45.95,-2.8,-5.74%,48,45.65,24623812,"14:47 ET"
ORLY,"O'Reilly Automotive",334.87,-11.56,-3.34%,343.7,330.1,550073,"14:46 ET"
OXY,"Occidental Petroleum Corp",66.16,-3.51,-5.04%,68.61,65.89,4352950,"14:47 ET"
PAYX,"Paychex Inc",68.2,-1.1,-1.59%,68.75,67.24,1042300,"14:47 ET"
PBCT,"People's United Finl",16,-0.31,-1.90%,16.17,15.9,2873879,"14:47 ET"
PCAR,"Paccar Inc",57.58,-1.74,-2.93%,58.2,56.11,2864450,"14:47 ET"
PCG,"Pacific Gas & Electric Co",25.59,-1.16,-4.34%,26.63,25.43,4785143,"14:46 ET"
PEG,"Public Service Enterprise Group Inc",54.66,-1.15,-2.06%,55.83,54.16,2093490,"14:47 ET"
PEP,"Pepsico Inc",115.18,-2.62,-2.22%,117.38,114.1,2766919,"14:47 ET"
PFE,"Pfizer Inc",44.13,-1.01,-2.24%,44.76,43.62,16485450,"14:47 ET"
PFG,"Principal Financial Group Inc",44.25,-1.62,-3.53%,45.31,43.77,1084666,"14:47 ET"
PG,"Procter & Gamble Company",92.35,-0.96000000000001,-1.03%,93.01,91.08,7593130,"14:47 ET"
PGR,"Progressive Corp",63.88,-0.74999999999999,-1.16%,64.42,62.53,2270573,"14:47 ET"
PH,"Parker-Hannifin Corp",160.46,-6.01,-3.61%,162.71,156.93,754770,"14:47 ET"
PHM,Pultegroup,26.42,0.79,+3.08%,26.62,25.12,4517583,"14:47 ET"
PKG,"Packaging Corporation of America",94.06,-1.91,-1.99%,94.73,93.11,502922,"14:47 ET"
PKI,Perkinelmer,84.52,-2.14,-2.47%,85.64,83.9,328462,"14:47 ET"
PLD,"Prologis Inc",66.48,-0.38,-0.57%,66.7,64.64,1697850,"14:47 ET"
PM,"Philip Morris International Inc",84.11,-1.32,-1.55%,85.71,83.69,2828079,"14:47 ET"
PNC,"PNC Bank",126.86,-2.65,-2.05%,128.28,125.39,2164833,"14:47 ET"
PNR,"Pentair Ltd",39.65,-0.93,-2.29%,39.97,38.71,1811764,"14:47 ET"
PNW,"Pinnacle West Capital Corp",89.6,-0.49000000000001,-0.54%,90.54,88.38,570932,"14:47 ET"
PPG,"PPG Industries",104.18,-2.55,-2.39%,105.44,103.2,632746,"14:46 ET"
PPL,"PPL Corp",30.38,-0.33,-1.07%,30.85,29.95,4640349,"14:47 ET"
PRGO,"Perrigo Company",62,-0.84,-1.34%,63.6,62,1094910,"14:46 ET"
PRU,"Prudential Financial Inflation Retail",85.27,-3.91,-4.38%,89.17,84.51,2532308,"14:47 ET"
PSA,"Public Storage",210.88,-0.93000000000001,-0.44%,212.38,209.99,949989,"14:47 ET"
PSX,"Phillips 66",91.09,-0.31,-0.34%,91.95,89.07,2283077,"14:47 ET"
